,Unnamed: 0,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,sentiment,magnitude
150,150,2013-03-18,Joe Rogan Experience #172 - Bryan Callen,2,18103,41,197,5,39.4,0.1097560975609756,44.261219512195126
151,151,2013-03-18,Joe Rogan Experience #173 - Peter Joseph,0,65738,406,1083,50,21.66,0.16225433526011568,48.382947976878604
152,152,2013-03-18,Joe Rogan Experience #175 - Ari Shaffir,2,13032,24,124,8,15.5,0.17833333333333334,41.65875
153,153,2013-03-28,Joe Rogan Experience #176 -- Steven Rinella,0,154389,217,1129,77,14.662337662337663,0.1741791044776119,50.58736318407962
154,154,2013-03-28,Joe Rogan Experience #177 - Hamilton Morris,3,248044,895,2159,140,15.42142857142857,0.14585820895522392,47.071044776119365
155,155,2013-03-28,Joe Rogan Experience #178 - Joey Diaz,2,132553,226,1096,70,15.657142857142857,0.15453201970443348,37.5692118226601
156,156,2013-03-28,Joe Rogan Experience #179 - Duncan Trussell,2,56349,167,679,37,18.35135135135135,0.15396694214876028,37.44628099173553
157,157,2013-03-28,"Joe Rogan Experience #180 - Joey Diaz, Eddie Bravo, Denny Prokopos",2,116312,166,941,70,13.442857142857143,0.13234567901234567,41.580308641975314
158,158,2013-03-28,Joe Rogan Experience #181 - Iliza Shlesinger,2,67123,145,412,45,9.155555555555557,0.12064748201438845,42.68510791366907
159,159,2013-04-09,"Joe Rogan Experience #184 - DEADMAU5, Russell Peters, Eddie Bravo",4,182686,727,1514,91,16.63736263736264,0.10791604197901047,41.483523238380855
160,160,2013-04-09,Joe Rogan Experience #185 - Tom Segura,2,40923,47,356,20,17.8,0.1317021276595745,41.5436170212766
161,161,2013-04-09,Joe Rogan Experience #186 - Ari Shaffir,2,18502,23,159,11,14.454545454545455,0.13478260869565215,52.52
162,162,2013-04-09,Joe Rogan Experience #187 - Daniele Bolelli,0,15755,29,176,12,14.666666666666664,0.16296296296296298,36.81407407407408
163,163,2013-04-09,Joe Rogan Experience #188 - Amy Schumer,2,20074,47,160,35,4.571428571428571,0.2195744680851063,34.51234042553191
164,164,2013-04-09,Joe Rogan Experience #189 -- B-Real,4,23611,73,210,28,7.5,0.15142857142857144,32.65428571428571
165,165,2013-04-10,Joe Rogan Experience #190 - Greg Fitzsimmons,2,25997,41,241,11,21.90909090909091,0.15775,24.612499999999994
166,166,2013-04-10,Joe Rogan Experience #192 - Sam Harris,3,258408,758,2813,133,21.150375939849624,0.1468611987381705,57.246813880126155
167,167,2013-04-10,Joe Rogan Experience #193 - Jim Gaffigan,2,194219,221,1214,99,12.262626262626267,0.2060000000000001,36.3344651162791
