date,Unnamed: 0,commentCount,date,dislikeCount,likeCount,title,viewCount,ratio,class,sentiment,magnitude
2013-04-10,166,758,2013-04-10,133,2813,Joe Rogan Experience #192 - Sam Harris,258408,21.150375939849624,3,0.1468611987381705,57.246813880126155
2013-04-10,167,221,2013-04-10,99,1214,Joe Rogan Experience #193 - Jim Gaffigan,194219,12.262626262626263,2,0.2060000000000001,36.3344651162791
2013-04-10,168,104,2013-04-10,19,429,Joe Rogan Experience #194 - Jason Silva,40002,22.57894736842105,3,0.16336956521739127,39.41532608695651
2013-04-10,169,77,2013-04-10,9,279,Joe Rogan Experience #196 - Matt Paxton,26422,31.0,0,0.14878378378378382,47.653918918918926
2013-04-10,170,67,2013-04-10,17,260,Joe Rogan Experience #197 - Ari Shaffir,29952,15.294117647058824,2,0.0191044776119403,33.239701492537314
2013-04-10,171,231,2013-04-10,63,1137,Joe Rogan Experience #199 - Joey Diaz,134558,18.047619047619047,2,0.11742358078602622,40.5922270742358
2013-04-12,172,496,2013-04-12,107,1574,Joe Rogan Experience #200 - Duncan Trussell,222622,14.710280373831775,2,0.11854700854700843,44.261217948717984
2013-04-11,173,104,2013-04-11,24,377,Joe Rogan Experience #201 - EverLast,41788,15.708333333333334,0,0.1624444444444444,50.35866666666667
2013-04-11,174,47,2013-04-11,20,191,Joe Rogan Experience #202 - Dom Irrera,25996,9.55,2,0.17068181818181813,35.81749999999999
2013-04-11,175,533,2013-04-11,180,1988,Joe Rogan Experience #203 - Jim Jefferies,406716,11.044444444444444,2,0.14973737373737356,44.61533333333335
2013-04-12,176,156,2013-04-12,104,496,Joe Rogan Experience #204 - Amy Schumer,103984,4.769230769230769,2,0.1590849673202615,40.470784313725495
2013-05-04,177,45,2013-05-04,24,162,Joe Rogan Experience #205  Neal Brennan,27933,6.75,2,0.1248888888888889,41.72933333333333
2013-05-04,178,162,2013-05-04,39,558,Joe Rogan Experience #206  Eddie Bravo,65224,14.307692307692308,2,0.12110389610389609,38.52590909090908
2013-05-04,179,122,2013-05-04,33,561,"Joe Rogan Experience #207 - Tom Segura, Christina Pazsitzky",78430,17.0,2,0.13639175257731967,46.43989690721651
2013-05-04,180,671,2013-05-04,156,3378,Joe Rogan Experience #208 - Freeway Rick Ross,330756,21.653846153846153,0,0.12148820326678765,47.49731397459159
2013-05-04,181,17,2013-05-04,4,100,Joe Rogan Experience #209 - Eddie Ifft,12824,25.0,2,0.21000000000000002,51.18705882352941
2013-05-05,182,128,2013-05-05,38,312,Joe Rogan Experience #211 - Ari Shaffir (Part 1),40687,8.210526315789474,2,0.11663461538461542,44.41365384615384
